data,TEMP_MEDIA,PRECIPITACAO,PRESSAO_MEDIA,casos_total_mes
2022-01-01,"21,95","545,40","898,95",105
2022-02-01,"21,35","305,80","899,15",81
2022-03-01,"23,10","14,90","900,00",202
2022-04-01,"21,85","37,10","900,40",392
2022-05-01,"18,20","67,70","902,05",287
2022-06-01,"18,25","0,30","902,35",110
2022-07-01,"18,25","0,00","904,20",89
2022-08-01,"18,90","0,20","903,30",47
2022-09-01,"20,40","50,00","901,40",42
2022-10-01,"22,00","57,40","900,10",66
2022-11-01,"20,10","268,20","898,60",73
2022-12-01,"20,85","387,10","898,00",90
2023-01-01,"21,15","483,80","899,35",567
2023-02-01,"23,00","133,70","900,10",1305
2023-03-01,"23,05","74,10","900,80",4638
2023-04-01,"21,00","79,20","900,05",7080
2023-05-01,"19,10","2,30","902,40",4075
2023-06-01,"17,90","4,50","904,30",1177
2023-07-01,"18,65","1,80","904,35",404
2023-08-01,"20,35","19,50","902,35",296
2023-09-01,"22,75","17,80","901,60",291
2023-10-01,"23,65","159,50","899,55",291
2023-11-01,"24,75","130,80","898,90",460
2023-12-01,"23,55","138,80","899,05",1166
